datetime,df_test_inversed_plt,predicted_test_plot_inversed_plt
2023-01-01 00:00:00,334.0,
2023-01-01 01:00:00,377.0,
2023-01-01 02:00:00,360.0,
2023-01-01 03:00:00,369.0,
2023-01-01 04:00:00,320.0,
2023-01-01 05:00:00,336.0,
2023-01-01 06:00:00,372.0,
2023-01-01 07:00:00,334.0,
2023-01-01 08:00:00,364.0,
2023-01-01 09:00:00,360.0,
2023-01-01 10:00:00,216.0,
2023-01-01 11:00:00,318.0,
2023-01-01 12:00:00,386.0,
2023-01-01 13:00:00,291.0,
2023-01-01 14:00:00,334.0,
2023-01-01 15:00:00,437.0,
2023-01-01 16:00:00,324.0,
2023-01-01 17:00:00,222.0,
2023-01-01 18:00:00,360.0,
2023-01-01 19:00:00,379.0,
2023-01-01 20:00:00,395.0,
2023-01-01 21:00:00,332.0,
2023-01-01 22:00:00,375.0,
2023-01-01 23:00:00,377.0,
2023-01-02 00:00:00,293.0,
2023-01-02 01:00:00,323.0,
2023-01-02 02:00:00,342.0,
2023-01-02 03:00:00,323.0,
2023-01-02 04:00:00,416.0,
2023-01-02 05:00:00,348.0,341.5782763659954
2023-01-02 06:00:00,327.0,338.618932723999
2023-01-02 07:00:00,372.0,350.8629823923111
2023-01-02 08:00:00,318.0,366.8947720825672
2023-01-02 09:00:00,319.0,380.6985852122307
2023-01-02 10:00:00,376.0,405.09323835372925
2023-01-02 11:00:00,385.0,413.12775534391403
2023-01-02 12:00:00,320.0,423.16738271713257
2023-01-02 13:00:00,308.0,432.4724025130272
2023-01-02 14:00:00,328.0,415.32872301340103
2023-01-02 15:00:00,321.0,388.37088042497635
2023-01-02 16:00:00,272.0,374.41149494051933
2023-01-02 17:00:00,334.0,371.6685364842415
2023-01-02 18:00:00,338.0,349.09963870048523
2023-01-02 19:00:00,259.0,327.66919708251953
2023-01-02 20:00:00,296.0,318.8897086381912
2023-01-02 21:00:00,276.0,319.3863039314747
2023-01-02 22:00:00,408.0,318.1609396636486
2023-01-02 23:00:00,322.0,322.33833861351013
2023-01-03 00:00:00,291.0,325.39609625935555
2023-01-03 01:00:00,315.0,322.52774345874786
2023-01-03 02:00:00,301.0,321.4417776167393
2023-01-03 03:00:00,324.0,318.1251086294651
2023-01-03 04:00:00,326.0,322.8708220422268
2023-01-03 05:00:00,342.0,320.3991658985615
2023-01-03 06:00:00,332.0,329.4723974466324
2023-01-03 07:00:00,318.0,346.20454823970795
2023-01-03 08:00:00,362.0,355.1874741613865
2023-01-03 09:00:00,297.0,364.6277239918709
2023-01-03 10:00:00,408.0,367.6138909459114
2023-01-03 11:00:00,403.0,372.86632084846497
2023-01-03 12:00:00,336.0,368.1305002272129
2023-01-03 13:00:00,432.0,361.3032178580761
2023-01-03 14:00:00,394.0,361.36454460024834
2023-01-03 15:00:00,386.0,338.1430651843548
2023-01-03 16:00:00,417.0,352.0521730184555
2023-01-03 17:00:00,330.0,359.01045992970467
2023-01-03 18:00:00,313.0,336.50216084718704
2023-01-03 19:00:00,402.0,334.33956521749496
2023-01-03 20:00:00,306.0,318.9574449956417
2023-01-03 21:00:00,256.0,316.7203322350979
2023-01-03 22:00:00,370.0,318.913419932127
2023-01-03 23:00:00,378.0,317.18603575229645
2023-01-04 00:00:00,346.0,320.3280462920666
