datetime,df_test_inversed_plt,predicted_test_plot_inversed_plt
2023-01-01 00:00:00,334.0,
2023-01-01 01:00:00,377.0,
2023-01-01 02:00:00,360.0,
2023-01-01 03:00:00,369.0,
2023-01-01 04:00:00,320.0,
2023-01-01 05:00:00,336.0,
2023-01-01 06:00:00,372.0,
2023-01-01 07:00:00,334.0,
2023-01-01 08:00:00,364.0,
2023-01-01 09:00:00,360.0,
2023-01-01 10:00:00,216.0,
2023-01-01 11:00:00,318.0,
2023-01-01 12:00:00,386.0,
2023-01-01 13:00:00,291.0,
2023-01-01 14:00:00,334.0,
2023-01-01 15:00:00,437.0,
2023-01-01 16:00:00,324.0,
2023-01-01 17:00:00,222.0,
2023-01-01 18:00:00,360.0,
2023-01-01 19:00:00,379.0,
2023-01-01 20:00:00,395.0,
2023-01-01 21:00:00,332.0,
2023-01-01 22:00:00,375.0,
2023-01-01 23:00:00,377.0,
2023-01-02 00:00:00,293.0,
2023-01-02 01:00:00,323.0,
2023-01-02 02:00:00,342.0,
2023-01-02 03:00:00,323.0,
2023-01-02 04:00:00,416.0,
2023-01-02 05:00:00,348.0,
2023-01-02 06:00:00,327.0,
2023-01-02 07:00:00,372.0,
2023-01-02 08:00:00,318.0,
2023-01-02 09:00:00,319.0,
2023-01-02 10:00:00,376.0,
2023-01-02 11:00:00,385.0,
2023-01-02 12:00:00,320.0,
2023-01-02 13:00:00,308.0,
2023-01-02 14:00:00,328.0,
2023-01-02 15:00:00,321.0,
2023-01-02 16:00:00,272.0,
2023-01-02 17:00:00,334.0,
2023-01-02 18:00:00,338.0,
2023-01-02 19:00:00,259.0,
2023-01-02 20:00:00,296.0,
2023-01-02 21:00:00,276.0,
2023-01-02 22:00:00,408.0,
2023-01-02 23:00:00,322.0,368.7345457971096
2023-01-03 00:00:00,291.0,345.50662821531296
2023-01-03 01:00:00,315.0,345.8385863304138
2023-01-03 02:00:00,301.0,352.1650621891022
2023-01-03 03:00:00,324.0,352.1945264339447
2023-01-03 04:00:00,326.0,379.0089877843857
2023-01-03 05:00:00,342.0,369.116824388504
2023-01-03 06:00:00,332.0,351.54949644207954
2023-01-03 07:00:00,318.0,351.8482787311077
2023-01-03 08:00:00,362.0,329.10203874111176
2023-01-03 09:00:00,297.0,322.5822466015816
2023-01-03 10:00:00,408.0,355.4865134060383
2023-01-03 11:00:00,403.0,374.6677796244621
2023-01-03 12:00:00,336.0,356.0658769607544
2023-01-03 13:00:00,432.0,351.9458362162113
2023-01-03 14:00:00,394.0,349.96015453338623
2023-01-03 15:00:00,386.0,324.88021501898766
2023-01-03 16:00:00,417.0,314.2996817827225
2023-01-03 17:00:00,330.0,345.4664146602154
2023-01-03 18:00:00,313.0,350.1381962299347
2023-01-03 19:00:00,402.0,323.97982823848724
2023-01-03 20:00:00,306.0,310.8087255060673
2023-01-03 21:00:00,256.0,303.51559686660767
2023-01-03 22:00:00,370.0,327.68799766898155
2023-01-03 23:00:00,378.0,319.8208587169647
2023-01-04 00:00:00,346.0,318.514781832695
2023-01-04 01:00:00,332.0,322.83647564053535
2023-01-04 02:00:00,293.0,321.68966841697693
2023-01-04 03:00:00,354.0,332.5381064414978
2023-01-04 04:00:00,312.0,333.6033159792423
2023-01-04 05:00:00,314.0,343.9309192299843
