É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2024/09/24 01:33:07

,,,,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR,â™éR
,,,,ëqï~,ëqï~,ëqï~,ëqï~,ëqï~,ëqï~,ëqï~
îN,åé,ì˙,éû,ç~êÖó (mm),ç~êÖó (mm),ãCâ∑(Åé),ãCâ∑(Åé),ïóë¨(m/s),ïóë¨(m/s),ïóë¨(m/s)
,,,,,,,,,ïóå¸,
,,,,,ãœéøî‘çÜ,,ãœéøî‘çÜ,,,ãœéøî‘çÜ
2018,12,1,1,0.0,1,7.4,1,0.1,ê√â∏,1
2018,12,1,2,0.0,1,7.0,1,0.3,ìÏìå,1
2018,12,1,3,0.0,1,7.0,1,0.1,ê√â∏,1
2018,12,1,4,0.0,1,6.6,1,0.7,ñkìå,1
2018,12,1,5,0.0,1,6.2,1,0.3,ñkñkìå,1
2018,12,1,6,0.0,1,6.5,1,0.4,ñkñkìå,1
2018,12,1,7,0.0,1,6.6,1,0.7,ñkñkìå,1
2018,12,1,8,0.0,1,7.4,1,0.3,ìåñkìå,1
2018,12,1,9,0.0,1,8.8,1,0.9,ñkìå,1
2018,12,1,10,0.0,1,12.6,1,0.3,ìåñkìå,1
2018,12,1,11,0.0,1,14.1,1,0.5,ñkêº,1
2018,12,1,12,0.0,1,15.8,1,1.8,ìÏêº,1
2018,12,1,13,0.0,1,16.1,1,1.6,ìÏìÏêº,1
2018,12,1,14,0.0,1,16.2,1,1.6,êº,1
2018,12,1,15,0.0,1,16.5,1,1.4,êº,1
2018,12,1,16,0.0,1,16.4,1,0.8,ñkìå,1
2018,12,1,17,0.0,1,14.7,1,1.7,ñkìå,1
2018,12,1,18,0.0,1,13.4,1,1.5,ìåñkìå,1
2018,12,1,19,0.0,1,12.7,1,0.3,ñkìå,1
2018,12,1,20,0.0,1,12.1,1,0.6,ìåñkìå,1
2018,12,1,21,0.0,1,11.0,1,0.5,ñkìå,1
2018,12,1,22,0.0,1,10.4,1,1.3,ìåñkìå,1
2018,12,1,23,0.0,1,9.7,1,1.1,ìåñkìå,1
2018,12,1,24,0.0,1,9.0,1,0.4,ìåñkìå,1
2018,12,2,1,0.0,1,8.1,1,0.7,ìåìÏìå,1
2018,12,2,2,0.0,1,7.3,1,0.0,ê√â∏,1
2018,12,2,3,0.0,1,6.6,1,0.0,ê√â∏,1
2018,12,2,4,0.0,1,6.6,1,0.8,ñkìå,1
2018,12,2,5,0.0,1,5.4,1,0.7,ñkìå,1
2018,12,2,6,0.0,1,5.4,1,0.6,ñkñkìå,1
2018,12,2,7,0.0,1,5.1,1,0.2,ê√â∏,1
2018,12,2,8,0.0,1,5.8,1,1.3,ñkìå,1
2018,12,2,9,0.0,1,8.1,1,1.2,ñkñkìå,1
2018,12,2,10,0.0,1,11.2,1,2.5,ñkìå,1
2018,12,2,11,0.0,1,12.7,1,2.4,ìåñkìå,1
2018,12,2,12,0.0,1,14.1,1,2.8,ñkìå,1
2018,12,2,13,0.0,1,15.3,1,2.3,ñkìå,1
2018,12,2,14,0.0,1,15.3,1,2.5,ìåñkìå,1
2018,12,2,15,0.0,1,15.1,1,1.8,ìå,1
2018,12,2,16,0.0,1,15.0,1,1.4,ìåìÏìå,1
2018,12,2,17,0.0,1,14.1,1,1.0,ìå,1
2018,12,2,18,0.0,1,13.2,1,1.0,ìåñkìå,1
2018,12,2,19,0.0,1,13.3,1,0.6,ñkñkìå,1
2018,12,2,20,0.0,1,12.8,1,0.7,ìåñkìå,1
2018,12,2,21,0.0,1,13.0,1,0.7,ñk,1
2018,12,2,22,0.0,1,12.1,1,0.8,ñkìå,1
2018,12,2,23,0.5,1,11.7,1,0.3,ñkìå,1
2018,12,2,24,0.0,1,11.7,1,1.6,ñkìå,1
2018,12,3,1,0.0,1,11.8,1,1.7,ñkìå,1
2018,12,3,2,0.5,1,11.8,1,1.7,ìåñkìå,1
2018,12,3,3,0.5,1,11.9,1,1.9,ñkìå,1
2018,12,3,4,1.5,1,12.1,1,1.6,ñkìå,1
2018,12,3,5,3.0,1,12.3,1,1.2,ñkìå,1
2018,12,3,6,2.5,1,12.4,1,1.7,ìåñkìå,1
2018,12,3,7,2.0,1,12.4,1,1.7,ñkñkìå,1
2018,12,3,8,2.0,1,12.7,1,1.3,ñkìå,1
2018,12,3,9,1.0,1,12.9,1,2.4,ìåñkìå,1
2018,12,3,10,0.5,1,13.2,1,1.9,ìåñkìå,1
2018,12,3,11,0.0,1,13.6,1,1.6,ñkìå,1
2018,12,3,12,0.0,1,14.2,1,1.9,ñkñkìå,1
2018,12,3,13,0.0,1,14.3,1,2.1,ñkñkìå,1
2018,12,3,14,0.0,1,14.8,1,1.9,ñkìå,1
2018,12,3,15,0.0,1,15.1,1,1.6,ñkñkìå,1
2018,12,3,16,0.0,1,15.2,1,1.4,ñkìå,1
2018,12,3,17,0.0,1,15.2,1,0.8,ñk,1
2018,12,3,18,0.5,1,14.8,1,0.7,ñkìå,1
2018,12,3,19,0.0,1,14.8,1,0.3,ñkêº,1
2018,12,3,20,0.0,1,14.8,1,0.3,ñkñkìå,1
2018,12,3,21,0.5,1,14.7,1,0.2,ê√â∏,1
2018,12,3,22,0.0,1,14.6,1,0.1,ê√â∏,1
2018,12,3,23,0.0,1,14.4,1,0.0,ê√â∏,1
2018,12,3,24,0.0,1,14.6,1,0.0,ê√â∏,1
2018,12,4,1,0.0,1,14.8,1,1.3,ìÏìå,1
2018,12,4,2,0.0,1,14.7,1,0.0,ê√â∏,1
2018,12,4,3,0.0,1,14.8,1,0.3,ñkêº,1
2018,12,4,4,0.0,1,14.7,1,0.2,ê√â∏,1
2018,12,4,5,0.0,1,14.6,1,0.0,ê√â∏,1
2018,12,4,6,0.0,1,14.7,1,0.0,ê√â∏,1
2018,12,4,7,0.0,1,14.7,1,0.3,ñkñkìå,1
2018,12,4,8,0.0,1,14.9,1,0.9,ñkìå,1
2018,12,4,9,0.0,1,15.4,1,0.6,ñkñkìå,1
2018,12,4,10,0.0,1,15.9,1,0.9,ìÏ,1
2018,12,4,11,0.0,1,16.4,1,1.4,ñkìå,1
2018,12,4,12,0.0,1,16.8,1,0.2,ê√â∏,1
2018,12,4,13,0.5,1,17.6,1,1.1,ñkìå,1
2018,12,4,14,0.0,1,18.2,1,0.7,ìå,1
2018,12,4,15,0.0,1,18.6,1,0.2,ê√â∏,1
2018,12,4,16,0.0,1,18.9,1,0.5,ñk,1
2018,12,4,17,0.0,1,18.3,1,1.3,ñkêº,1
2018,12,4,18,0.0,1,18.1,1,0.8,ìå,1
2018,12,4,19,0.0,1,17.3,1,0.3,ìÏìå,1
2018,12,4,20,0.0,1,17.8,1,1.2,êºìÏêº,1
2018,12,4,21,0.0,1,17.6,1,1.1,ñkêº,1
2018,12,4,22,0.0,1,17.0,1,1.1,ñkêº,1
2018,12,4,23,0.0,1,16.0,1,2.3,ñkñkêº,1
2018,12,4,24,0.0,1,15.5,1,1.5,ñkñkìå,1
2018,12,5,1,0.0,1,15.2,1,1.1,ñkñkêº,1
