1,2,3,4,5,6
20130619155300-10-3320200,大雨注意報,倉敷市,2013-06-19 15:53:00+09,2013-06-20 02:17:00+09,0日10時24分00秒間
20130621214300-10-3320200,大雨注意報,倉敷市,2013-06-21 21:43:00+09,2013-06-22 02:12:00+09,0日04時29分00秒間
20130626053800-10-3320200,大雨注意報,倉敷市,2013-06-26 05:38:00+09,2013-06-26 07:20:00+09,0日01時42分00秒間
20130626153300-10-3320200,大雨注意報,倉敷市,2013-06-26 15:33:00+09,2013-06-26 20:45:00+09,0日05時12分00秒間
20130704042500-10-3320200,大雨注意報,倉敷市,2013-07-04 04:25:00+09,2013-07-04 13:16:00+09,0日08時51分00秒間
20130704223100-10-3320200,大雨注意報,倉敷市,2013-07-04 22:31:00+09,2013-07-05 04:14:00+09,0日05時43分00秒間
20130713123300-10-3320200,大雨注意報,倉敷市,2013-07-13 12:33:00+09,2013-07-13 16:24:00+09,0日03時51分00秒間
20130713183100-10-3320200,大雨注意報,倉敷市,2013-07-13 18:31:00+09,2013-07-13 20:20:00+09,0日01時49分00秒間
20130714152100-10-3320200,大雨注意報,倉敷市,2013-07-14 15:21:00+09,2013-07-14 19:03:00+09,0日03時42分00秒間
20130715114200-10-3320200,大雨注意報,倉敷市,2013-07-15 11:42:00+09,2013-07-15 12:41:00+09,0日00時59分00秒間
20130715150700-10-3320200,大雨注意報,倉敷市,2013-07-15 15:07:00+09,2013-07-15 16:23:00+09,0日01時16分00秒間
20130722151000-10-3320200,大雨注意報,倉敷市,2013-07-22 15:10:00+09,2013-07-22 20:07:00+09,0日04時57分00秒間
20130730063200-10-3320200,大雨注意報,倉敷市,2013-07-30 06:32:00+09,2013-07-30 15:07:00+09,0日08時35分00秒間
20130803181400-10-3320200,大雨注意報,倉敷市,2013-08-03 18:14:00+09,2013-08-03 19:30:00+09,0日01時16分00秒間
20130805165900-10-3320200,大雨注意報,倉敷市,2013-08-05 16:59:00+09,2013-08-05 20:17:00+09,0日03時18分00秒間
20130806151100-10-3320200,大雨注意報,倉敷市,2013-08-06 15:11:00+09,2013-08-06 18:15:00+09,0日03時04分00秒間
20130807143300-10-3320200,大雨注意報,倉敷市,2013-08-07 14:33:00+09,2013-08-07 18:45:00+09,0日04時12分00秒間
20130808161400-10-3320200,大雨注意報,倉敷市,2013-08-08 16:14:00+09,2013-08-08 18:35:00+09,0日02時21分00秒間
20130810144000-10-3320200,大雨注意報,倉敷市,2013-08-10 14:40:00+09,2013-08-10 19:09:00+09,0日04時29分00秒間
20130824114900-10-3320200,大雨注意報,倉敷市,2013-08-24 11:49:00+09,2013-08-24 16:25:00+09,0日04時36分00秒間
20130825004900-10-3320200,大雨注意報,倉敷市,2013-08-25 00:49:00+09,2013-08-25 09:09:00+09,0日08時20分00秒間
20130825151500-10-3320200,大雨注意報,倉敷市,2013-08-25 15:15:00+09,2013-08-25 17:43:00+09,0日02時28分00秒間
20130826023400-10-3320200,大雨注意報,倉敷市,2013-08-26 02:34:00+09,2013-08-26 11:31:00+09,0日08時57分00秒間
