1,2,3,4,5,6
20130313101300-14-3320200,雷注意報,倉敷市,2013-03-13 10:13:00+09,2013-03-13 20:16:00+09,0日10時03分00秒間
20130318041300-14-3320200,雷注意報,倉敷市,2013-03-18 04:13:00+09,2013-03-18 16:04:00+09,0日11時51分00秒間
20130402133000-14-3320200,雷注意報,倉敷市,2013-04-02 13:30:00+09,2013-04-03 07:45:00+09,0日18時15分00秒間
20130406042000-14-3320200,雷注意報,倉敷市,2013-04-06 04:20:00+09,2013-04-07 17:20:00+09,1日13時00分00秒間
20130414081200-14-3320200,雷注意報,倉敷市,2013-04-14 08:12:00+09,2013-04-14 21:13:00+09,0日13時01分00秒間
20130426011500-14-3320200,雷注意報,倉敷市,2013-04-26 01:15:00+09,2013-04-27 04:37:00+09,1日03時22分00秒間
20130429174200-14-3320200,雷注意報,倉敷市,2013-04-29 17:42:00+09,2013-04-30 06:34:00+09,0日12時52分00秒間
20130504042000-14-3320200,雷注意報,倉敷市,2013-05-04 04:20:00+09,2013-05-04 18:15:00+09,0日13時55分00秒間
20130604170700-14-3320200,雷注意報,倉敷市,2013-06-04 17:07:00+09,2013-06-04 19:51:00+09,0日02時44分00秒間
20130606141400-14-3320200,雷注意報,倉敷市,2013-06-06 14:14:00+09,2013-06-06 18:09:00+09,0日03時55分00秒間
20130607102200-14-3320200,雷注意報,倉敷市,2013-06-07 10:22:00+09,2013-06-07 18:32:00+09,0日08時10分00秒間
20130612165300-14-3320200,雷注意報,倉敷市,2013-06-12 16:53:00+09,2013-06-12 19:44:00+09,0日02時51分00秒間
20130613102000-14-3320200,雷注意報,倉敷市,2013-06-13 10:20:00+09,2013-06-13 19:21:00+09,0日09時01分00秒間
20130614101700-14-3320200,雷注意報,倉敷市,2013-06-14 10:17:00+09,2013-06-15 17:52:00+09,1日07時35分00秒間
20130618161200-14-3320200,雷注意報,倉敷市,2013-06-18 16:12:00+09,2013-06-20 23:15:00+09,2日07時03分00秒間
20130622163800-14-3320200,雷注意報,倉敷市,2013-06-22 16:38:00+09,2013-06-22 20:47:00+09,0日04時09分00秒間
20130628153000-14-3320200,雷注意報,倉敷市,2013-06-28 15:30:00+09,2013-06-28 20:42:00+09,0日05時12分00秒間
20130629101700-14-3320200,雷注意報,倉敷市,2013-06-29 10:17:00+09,2013-06-29 19:54:00+09,0日09時37分00秒間
20130702161100-14-3320200,雷注意報,倉敷市,2013-07-02 16:11:00+09,2013-07-02 19:21:00+09,0日03時10分00秒間
20130703043000-14-3320200,雷注意報,倉敷市,2013-07-03 04:30:00+09,2013-07-05 23:30:00+09,2日19時00分00秒間
20130706043500-14-3320200,雷注意報,倉敷市,2013-07-06 04:35:00+09,2013-07-06 20:45:00+09,0日16時10分00秒間
20130707014400-14-3320200,雷注意報,倉敷市,2013-07-07 01:44:00+09,2013-07-07 19:49:00+09,0日18時05分00秒間
20130708081800-14-3320200,雷注意報,倉敷市,2013-07-08 08:18:00+09,2013-07-08 20:17:00+09,0日11時59分00秒間
20130709101600-14-3320200,雷注意報,倉敷市,2013-07-09 10:16:00+09,2013-07-09 18:21:00+09,0日08時05分00秒間
20130713043000-14-3320200,雷注意報,倉敷市,2013-07-13 04:30:00+09,2013-07-14 19:03:00+09,1日14時33分00秒間
20130715042600-14-3320200,雷注意報,倉敷市,2013-07-15 04:26:00+09,2013-07-15 18:10:00+09,0日13時44分00秒間
20130716170600-14-3320200,雷注意報,倉敷市,2013-07-16 17:06:00+09,2013-07-16 21:51:00+09,0日04時45分00秒間
