0,1,2,3,4,5,6
1901,20170530042000-21-3320200,乾燥注意報,倉敷市,2017-05-30 04:20:00+09,2017-05-30 21:53:00+09,0日17時33分00秒間
1902,20170526071600-20-3320200,濃霧注意報,倉敷市,2017-05-26 07:16:00+09,2017-05-26 10:15:00+09,0日02時59分00秒間
1903,20170525170400-14-3320200,雷注意報,倉敷市,2017-05-25 17:04:00+09,2017-05-25 20:42:00+09,0日03時38分00秒間
1904,20170524101700-14-3320200,雷注意報,倉敷市,2017-05-24 10:17:00+09,2017-05-25 04:10:00+09,0日17時53分00秒間
1905,20170519041500-21-3320200,乾燥注意報,倉敷市,2017-05-19 04:15:00+09,2017-05-23 20:00:00+09,4日15時45分00秒間
1906,20170517042500-14-3320200,雷注意報,倉敷市,2017-05-17 04:25:00+09,2017-05-17 19:52:00+09,0日15時27分00秒間
1907,20170514031500-20-3320200,濃霧注意報,倉敷市,2017-05-14 03:15:00+09,2017-05-14 07:30:00+09,0日04時15分00秒間
1908,20170511144800-14-3320200,雷注意報,倉敷市,2017-05-11 14:48:00+09,2017-05-11 20:20:00+09,0日05時32分00秒間
1909,20170511064500-20-3320200,濃霧注意報,倉敷市,2017-05-11 06:45:00+09,2017-05-11 10:15:00+09,0日03時30分00秒間
1910,20170510101500-15-3320200,強風注意報,倉敷市,2017-05-10 10:15:00+09,2017-05-10 21:26:00+09,0日11時11分00秒間
1911,20170510101500-16-3320200,波浪注意報,倉敷市,2017-05-10 10:15:00+09,2017-05-10 21:26:00+09,0日11時11分00秒間
1912,20170507042000-21-3320200,乾燥注意報,倉敷市,2017-05-07 04:20:00+09,2017-05-08 21:15:00+09,1日16時55分00秒間
1913,20170429040000-21-3320200,乾燥注意報,倉敷市,2017-04-29 04:00:00+09,2017-05-04 01:35:00+09,4日21時35分00秒間
1914,20170501032500-14-3320200,雷注意報,倉敷市,2017-05-01 03:25:00+09,2017-05-01 16:00:00+09,0日12時35分00秒間
1915,20170429040000-14-3320200,雷注意報,倉敷市,2017-04-29 04:00:00+09,2017-04-29 16:06:00+09,0日12時06分00秒間
1916,20170425151500-14-3320200,雷注意報,倉敷市,2017-04-25 15:15:00+09,2017-04-26 20:15:00+09,1日05時00分00秒間
1917,20170422042200-21-3320200,乾燥注意報,倉敷市,2017-04-22 04:22:00+09,2017-04-25 15:15:00+09,3日10時53分00秒間
1918,20170423101000-24-3320200,霜注意報,倉敷市,2017-04-23 10:10:00+09,2017-04-24 07:20:00+09,0日21時10分00秒間
1919,20170419101000-24-3320200,霜注意報,倉敷市,2017-04-19 10:10:00+09,2017-04-20 07:30:00+09,0日21時20分00秒間
1920,20170418162500-15-3320200,強風注意報,倉敷市,2017-04-18 16:25:00+09,2017-04-19 16:00:00+09,0日23時35分00秒間
