1,2,3,4,5,6
20130620021700-03-3320200,大雨警報,倉敷市,2013-06-20 02:17:00+09,2013-06-21 21:43:00+09,1日19時26分00秒間
20130626072000-03-3320200,大雨警報,倉敷市,2013-06-26 07:20:00+09,2013-06-26 15:33:00+09,0日08時13分00秒間
20130713162400-03-3320200,大雨警報,倉敷市,2013-07-13 16:24:00+09,2013-07-13 18:31:00+09,0日02時07分00秒間
20130715124100-03-3320200,大雨警報,倉敷市,2013-07-15 12:41:00+09,2013-07-15 15:07:00+09,0日02時26分00秒間
20130825090900-03-3320200,大雨警報,倉敷市,2013-08-25 09:09:00+09,2013-08-25 15:15:00+09,0日06時06分00秒間
20130902045000-03-3320200,大雨警報,倉敷市,2013-09-02 04:50:00+09,2013-09-02 21:54:00+09,0日17時04分00秒間
20130903152800-03-3320200,大雨警報,倉敷市,2013-09-03 15:28:00+09,2013-09-04 22:59:00+09,1日07時31分00秒間
20131024215000-03-3320200,大雨警報,倉敷市,2013-10-24 21:50:00+09,2013-10-25 20:38:00+09,0日22時48分00秒間
20140707120500-03-3320200,大雨警報,倉敷市,2014-07-07 12:05:00+09,2014-07-07 16:13:00+09,0日04時08分00秒間
20140809164200-03-3320200,大雨警報,倉敷市,2014-08-09 16:42:00+09,2014-08-10 14:48:00+09,0日22時06分00秒間
20140822101400-03-3320200,大雨警報,倉敷市,2014-08-22 10:14:00+09,2014-08-22 13:58:00+09,0日03時44分00秒間
20140824174900-03-3320200,大雨警報,倉敷市,2014-08-24 17:49:00+09,2014-08-25 04:10:00+09,0日10時21分00秒間
20140825142000-03-3320200,大雨警報,倉敷市,2014-08-25 14:20:00+09,2014-08-26 05:15:00+09,0日14時55分00秒間
20140911154500-03-3320200,大雨警報,倉敷市,2014-09-11 15:45:00+09,2014-09-11 17:32:00+09,0日01時47分00秒間
20141013192000-03-3320200,大雨警報,倉敷市,2014-10-13 19:20:00+09,2014-10-13 23:39:00+09,0日04時19分00秒間
20150716221500-03-3320200,大雨警報,倉敷市,2015-07-16 22:15:00+09,2015-07-17 16:34:00+09,0日18時19分00秒間
20160622202400-03-3320200,大雨警報,倉敷市,2016-06-22 20:24:00+09,2016-06-23 07:26:00+09,0日11時02分00秒間
20160624092100-03-3320200,大雨警報,倉敷市,2016-06-24 09:21:00+09,2016-06-25 03:35:00+09,0日18時14分00秒間
20160815165400-03-3320200,大雨警報,倉敷市,2016-08-15 16:54:00+09,2016-08-15 18:35:00+09,0日01時41分00秒間
20160920083600-03-3320200,大雨警報,倉敷市,2016-09-20 08:36:00+09,2016-09-20 17:35:00+09,0日08時59分00秒間
20170705100600-03-3320200,大雨警報,倉敷市,2017-07-05 10:06:00+09,2017-07-05 12:20:00+09,0日02時14分00秒間
20170709125800-03-3320200,大雨警報,倉敷市,2017-07-09 12:58:00+09,2017-07-09 18:42:00+09,0日05時44分00秒間
20170917125000-03-3320200,大雨警報,倉敷市,2017-09-17 12:50:00+09,2017-09-18 06:25:00+09,0日17時35分00秒間
20171022102000-03-3320200,大雨警報,倉敷市,2017-10-22 10:20:00+09,2017-10-23 04:18:00+09,0日17時58分00秒間
20180705183000-03-3320200,大雨警報,倉敷市,2018-07-05 18:30:00+09,2018-07-06 22:40:00+09,1日04時10分00秒間
20180707151000-03-3320200,大雨警報,倉敷市,2018-07-07 15:10:00+09,2018-07-08 22:41:00+09,1日07時31分00秒間
20180729021600-03-3320200,大雨警報,倉敷市,2018-07-29 02:16:00+09,2018-07-29 10:18:00+09,0日08時02分00秒間
20180823181700-03-3320200,大雨警報,倉敷市,2018-08-23 18:17:00+09,2018-08-24 01:23:00+09,0日07時06分00秒間
20180909070600-03-3320200,大雨警報,倉敷市,2018-09-09 07:06:00+09,2018-09-10 01:07:00+09,0日18時01分00秒間
20180930101400-03-3320200,大雨警報,倉敷市,2018-09-30 10:14:00+09,2018-09-30 23:06:00+09,0日12時52分00秒間
20200618221500-03-3320200,大雨警報,倉敷市,2020-06-18 22:15:00+09,2020-06-19 06:10:00+09,0日07時55分00秒間
20200707181500-03-3320200,大雨警報,倉敷市,2020-07-07 18:15:00+09,2020-07-08 09:15:00+09,0日15時00分00秒間
20200713214000-03-3320200,大雨警報,倉敷市,2020-07-13 21:40:00+09,2020-07-14 14:10:00+09,0日16時30分00秒間
20200730174000-03-3320200,大雨警報,倉敷市,2020-07-30 17:40:00+09,2020-07-30 18:48:00+09,0日01時08分00秒間
20210708041500-03-3320200,大雨警報,倉敷市,2021-07-08 04:15:00+09,2021-07-08 21:04:00+09,0日16時49分00秒間
20210709095000-03-3320200,大雨警報,倉敷市,2021-07-09 09:50:00+09,2021-07-09 18:25:00+09,0日08時35分00秒間
20210713171300-03-3320200,大雨警報,倉敷市,2021-07-13 17:13:00+09,2021-07-13 18:17:00+09,0日01時04分00秒間
20210715181500-03-3320200,大雨警報,倉敷市,2021-07-15 18:15:00+09,2021-07-15 20:20:00+09,0日02時05分00秒間
20210808210600-03-3320200,大雨警報,倉敷市,2021-08-08 21:06:00+09,2021-08-09 04:15:00+09,0日07時09分00秒間
20210812092900-03-3320200,大雨警報,倉敷市,2021-08-12 09:29:00+09,2021-08-12 12:03:00+09,0日02時34分00秒間
20210813104500-03-3320200,大雨警報,倉敷市,2021-08-13 10:45:00+09,2021-08-15 11:20:00+09,2日00時35分00秒間
20210903094000-03-3320200,大雨警報,倉敷市,2021-09-03 09:40:00+09,2021-09-03 14:30:00+09,0日04時50分00秒間
20210904011000-03-3320200,大雨警報,倉敷市,2021-09-04 01:10:00+09,2021-09-04 08:51:00+09,0日07時41分00秒間
20220716132300-03-3320200,大雨警報,倉敷市,2022-07-16 13:23:00+09,2022-07-16 14:52:00+09,0日01時29分00秒間
20220805131900-03-3320200,大雨警報,倉敷市,2022-08-05 13:19:00+09,2022-08-05 16:20:00+09,0日03時01分00秒間
20220821050200-03-3320200,大雨警報,倉敷市,2022-08-21 05:02:00+09,2022-08-21 10:58:00+09,0日05時56分00秒間
20220901230200-03-3320200,大雨警報,倉敷市,2022-09-01 23:02:00+09,2022-09-02 02:50:00+09,0日03時48分00秒間
20220919101300-03-3320200,大雨警報,倉敷市,2022-09-19 10:13:00+09,2022-09-19 20:24:00+09,0日10時11分00秒間
20230507184100-03-3320200,大雨警報,倉敷市,2023-05-07 18:41:00+09,2023-05-08 01:06:00+09,0日06時25分00秒間
20230709095100-03-3320200,大雨警報,倉敷市,2023-07-09 09:51:00+09,2023-07-09 17:01:00+09,0日07時10分00秒間
20230823115600-03-3320200,大雨警報,倉敷市,2023-08-23 11:56:00+09,2023-08-23 16:05:00+09,0日04時09分00秒間
20230911161500-03-3320200,大雨警報,倉敷市,2023-09-11 16:15:00+09,2023-09-11 18:38:00+09,0日02時23分00秒間
20240528041000-03-3320200,大雨警報,倉敷市,2024-05-28 04:10:00+09,2024-05-28 14:32:00+09,0日10時22分00秒間
20240701045400-03-3320200,大雨警報,倉敷市,2024-07-01 04:54:00+09,2024-07-01 10:43:00+09,0日05時49分00秒間
20240804164400-03-3320200,大雨警報,倉敷市,2024-08-04 16:44:00+09,2024-08-04 18:37:00+09,0日01時53分00秒間
20240825194700-03-3320200,大雨警報,倉敷市,2024-08-25 19:47:00+09,2024-08-25 20:49:00+09,0日01時02分00秒間
20240831003500-03-3320200,大雨警報,倉敷市,2024-08-31 00:35:00+09,2024-08-31 05:39:00+09,0日05時04分00秒間
