1,2,3,4,5,6
20130114041100-15-3320200,強風注意報,倉敷市,2013-01-14 04:11:00+09,2013-01-15 04:15:00+09,1日00時04分00秒間
20130124162800-15-3320200,強風注意報,倉敷市,2013-01-24 16:28:00+09,2013-01-26 19:10:00+09,2日02時42分00秒間
20130127102900-15-3320200,強風注意報,倉敷市,2013-01-27 10:29:00+09,2013-01-27 20:47:00+09,0日10時18分00秒間
20130207041100-15-3320200,強風注意報,倉敷市,2013-02-07 04:11:00+09,2013-02-08 04:29:00+09,1日00時18分00秒間
20130212203600-15-3320200,強風注意報,倉敷市,2013-02-12 20:36:00+09,2013-02-13 15:11:00+09,0日18時35分00秒間
20130302101000-15-3320200,強風注意報,倉敷市,2013-03-02 10:10:00+09,2013-03-02 16:07:00+09,0日05時57分00秒間
20130308041000-15-3320200,強風注意報,倉敷市,2013-03-08 04:10:00+09,2013-03-08 21:08:00+09,0日16時58分00秒間
20130309222500-15-3320200,強風注意報,倉敷市,2013-03-09 22:25:00+09,2013-03-10 15:55:00+09,0日17時30分00秒間
20130313101300-15-3320200,強風注意報,倉敷市,2013-03-13 10:13:00+09,2013-03-14 15:24:00+09,1日05時11分00秒間
20130317184100-15-3320200,強風注意報,倉敷市,2013-03-17 18:41:00+09,2013-03-18 16:04:00+09,0日21時23分00秒間
20130320101500-15-3320200,強風注意報,倉敷市,2013-03-20 10:15:00+09,2013-03-21 03:40:00+09,0日17時25分00秒間
20130402211600-15-3320200,強風注意報,倉敷市,2013-04-02 21:16:00+09,2013-04-03 16:03:00+09,0日18時47分00秒間
20130405211000-15-3320200,強風注意報,倉敷市,2013-04-05 21:10:00+09,2013-04-07 21:07:00+09,1日23時57分00秒間
20130409123200-15-3320200,強風注意報,倉敷市,2013-04-09 12:32:00+09,2013-04-09 23:25:00+09,0日10時53分00秒間
20130410072500-15-3320200,強風注意報,倉敷市,2013-04-10 07:25:00+09,2013-04-11 19:31:00+09,1日12時06分00秒間
20130412073600-15-3320200,強風注意報,倉敷市,2013-04-12 07:36:00+09,2013-04-12 16:13:00+09,0日08時37分00秒間
20130414081200-15-3320200,強風注意報,倉敷市,2013-04-14 08:12:00+09,2013-04-14 21:13:00+09,0日13時01分00秒間
20130426110000-15-3320200,強風注意報,倉敷市,2013-04-26 11:00:00+09,2013-04-26 20:22:00+09,0日09時22分00秒間
20130619044000-15-3320200,強風注意報,倉敷市,2013-06-19 04:40:00+09,2013-06-19 15:53:00+09,0日11時13分00秒間
20130831050800-15-3320200,強風注意報,倉敷市,2013-08-31 05:08:00+09,2013-08-31 20:54:00+09,0日15時46分00秒間
20130904083600-15-3320200,強風注意報,倉敷市,2013-09-04 08:36:00+09,2013-09-04 22:59:00+09,0日14時23分00秒間
20130915042900-15-3320200,強風注意報,倉敷市,2013-09-15 04:29:00+09,2013-09-16 16:10:00+09,1日11時41分00秒間
20131008135000-15-3320200,強風注意報,倉敷市,2013-10-08 13:50:00+09,2013-10-09 15:11:00+09,1日01時21分00秒間
20131015074200-15-3320200,強風注意報,倉敷市,2013-10-15 07:42:00+09,2013-10-16 16:09:00+09,1日08時27分00秒間
20131024043700-15-3320200,強風注意報,倉敷市,2013-10-24 04:37:00+09,2013-10-26 15:59:00+09,2日11時22分00秒間
20131109214500-15-3320200,強風注意報,倉敷市,2013-11-09 21:45:00+09,2013-11-10 16:17:00+09,0日18時32分00秒間
20131111041100-15-3320200,強風注意報,倉敷市,2013-11-11 04:11:00+09,2013-11-11 16:18:00+09,0日12時07分00秒間
20131118043900-15-3320200,強風注意報,倉敷市,2013-11-18 04:39:00+09,2013-11-20 18:09:00+09,2日13時30分00秒間
20131125041600-15-3320200,強風注意報,倉敷市,2013-11-25 04:16:00+09,2013-11-26 15:57:00+09,1日11時41分00秒間
20131127100700-15-3320200,強風注意報,倉敷市,2013-11-27 10:07:00+09,2013-11-28 16:26:00+09,1日06時19分00秒間
20131129043200-15-3320200,強風注意報,倉敷市,2013-11-29 04:32:00+09,2013-11-29 19:15:00+09,0日14時43分00秒間
20131209163600-15-3320200,強風注意報,倉敷市,2013-12-09 16:36:00+09,2013-12-10 17:35:00+09,1日00時59分00秒間
20131211043700-15-3320200,強風注意報,倉敷市,2013-12-11 04:37:00+09,2013-12-12 15:31:00+09,1日10時54分00秒間
20131213041600-15-3320200,強風注意報,倉敷市,2013-12-13 04:16:00+09,2013-12-14 22:33:00+09,1日18時17分00秒間
20131219162900-15-3320200,強風注意報,倉敷市,2013-12-19 16:29:00+09,2013-12-21 20:30:00+09,2日04時01分00秒間
20131226203000-15-3320200,強風注意報,倉敷市,2013-12-26 20:30:00+09,2013-12-27 20:34:00+09,1日00時04分00秒間
20131231163200-15-3320200,強風注意報,倉敷市,2013-12-31 16:32:00+09,2014-01-01 16:38:00+09,1日00時06分00秒間
20140108235000-15-3320200,強風注意報,倉敷市,2014-01-08 23:50:00+09,2014-01-09 19:39:00+09,0日19時49分00秒間
20140118045000-15-3320200,強風注意報,倉敷市,2014-01-18 04:50:00+09,2014-01-19 04:26:00+09,0日23時36分00秒間
20140121004100-15-3320200,強風注意報,倉敷市,2014-01-21 00:41:00+09,2014-01-21 20:46:00+09,0日20時05分00秒間
20140126041900-15-3320200,強風注意報,倉敷市,2014-01-26 04:19:00+09,2014-01-26 20:35:00+09,0日16時16分00秒間
20140204065400-15-3320200,強風注意報,倉敷市,2014-02-04 06:54:00+09,2014-02-05 04:15:00+09,0日21時21分00秒間
20140214161500-15-3320200,強風注意報,倉敷市,2014-02-14 16:15:00+09,2014-02-15 21:37:00+09,1日05時22分00秒間
20140305042600-15-3320200,強風注意報,倉敷市,2014-03-05 04:26:00+09,2014-03-05 20:10:00+09,0日15時44分00秒間
20140307123300-15-3320200,強風注意報,倉敷市,2014-03-07 12:33:00+09,2014-03-07 20:27:00+09,0日07時54分00秒間
20140310134100-15-3320200,強風注意報,倉敷市,2014-03-10 13:41:00+09,2014-03-10 20:31:00+09,0日06時50分00秒間
20140313042400-15-3320200,強風注意報,倉敷市,2014-03-13 04:24:00+09,2014-03-14 03:53:00+09,0日23時29分00秒間
20140320163000-15-3320200,強風注意報,倉敷市,2014-03-20 16:30:00+09,2014-03-21 16:00:00+09,0日23時30分00秒間
20140329162200-15-3320200,強風注意報,倉敷市,2014-03-29 16:22:00+09,2014-03-30 21:31:00+09,1日05時09分00秒間
20140403185300-15-3320200,強風注意報,倉敷市,2014-04-03 18:53:00+09,2014-04-04 20:13:00+09,1日01時20分00秒間
20140406112800-15-3320200,強風注意報,倉敷市,2014-04-06 11:28:00+09,2014-04-06 19:11:00+09,0日07時43分00秒間
20140429043300-15-3320200,強風注意報,倉敷市,2014-04-29 04:33:00+09,2014-04-29 20:45:00+09,0日16時12分00秒間
20140511214300-15-3320200,強風注意報,倉敷市,2014-05-11 21:43:00+09,2014-05-12 21:17:00+09,0日23時34分00秒間
20140604042300-15-3320200,強風注意報,倉敷市,2014-06-04 04:23:00+09,2014-06-05 04:23:00+09,1日00時00分00秒間
20140709181300-15-3320200,強風注意報,倉敷市,2014-07-09 18:13:00+09,2014-07-11 04:13:00+09,1日10時00分00秒間
20140809040500-15-3320200,強風注意報,倉敷市,2014-08-09 04:05:00+09,2014-08-09 16:42:00+09,0日12時37分00秒間
20140810144800-15-3320200,強風注意報,倉敷市,2014-08-10 14:48:00+09,2014-08-10 22:12:00+09,0日07時24分00秒間
20140924132700-15-3320200,強風注意報,倉敷市,2014-09-24 13:27:00+09,2014-09-25 04:05:00+09,0日14時38分00秒間
20141005043500-15-3320200,強風注意報,倉敷市,2014-10-05 04:35:00+09,2014-10-06 16:16:00+09,1日11時41分00秒間
20141012143800-15-3320200,強風注意報,倉敷市,2014-10-12 14:38:00+09,2014-10-13 07:58:00+09,0日17時20分00秒間
20141013233900-15-3320200,強風注意報,倉敷市,2014-10-13 23:39:00+09,2014-10-14 08:27:00+09,0日08時48分00秒間
20141102101700-15-3320200,強風注意報,倉敷市,2014-11-02 10:17:00+09,2014-11-03 04:29:00+09,0日18時12分00秒間
20141112101500-15-3320200,強風注意報,倉敷市,2014-11-12 10:15:00+09,2014-11-13 17:53:00+09,1日07時38分00秒間
20141130185100-15-3320200,強風注意報,倉敷市,2014-11-30 18:51:00+09,2014-12-02 21:40:00+09,2日02時49分00秒間
20141204182700-15-3320200,強風注意報,倉敷市,2014-12-04 18:27:00+09,2014-12-06 17:54:00+09,1日23時27分00秒間
20141213041700-15-3320200,強風注意報,倉敷市,2014-12-13 04:17:00+09,2014-12-14 18:20:00+09,1日14時03分00秒間
20141216042500-15-3320200,強風注意報,倉敷市,2014-12-16 04:25:00+09,2014-12-18 16:33:00+09,2日12時08分00秒間
20141222043000-15-3320200,強風注意報,倉敷市,2014-12-22 04:30:00+09,2014-12-22 18:20:00+09,0日13時50分00秒間
20141231043800-15-3320200,強風注意報,倉敷市,2014-12-31 04:38:00+09,2015-01-01 19:32:00+09,1日14時54分00秒間
20150102044600-15-3320200,強風注意報,倉敷市,2015-01-02 04:46:00+09,2015-01-02 23:18:00+09,0日18時32分00秒間
20150106041400-15-3320200,強風注意報,倉敷市,2015-01-06 04:14:00+09,2015-01-06 18:08:00+09,0日13時54分00秒間
20150111041400-15-3320200,強風注意報,倉敷市,2015-01-11 04:14:00+09,2015-01-11 22:48:00+09,0日18時34分00秒間
20150116202000-15-3320200,強風注意報,倉敷市,2015-01-16 20:20:00+09,2015-01-17 16:18:00+09,0日19時58分00秒間
20150118200700-15-3320200,強風注意報,倉敷市,2015-01-18 20:07:00+09,2015-01-19 16:07:00+09,0日20時00分00秒間
20150205041900-15-3320200,強風注意報,倉敷市,2015-02-05 04:19:00+09,2015-02-05 23:29:00+09,0日19時10分00秒間
20150208043800-15-3320200,強風注意報,倉敷市,2015-02-08 04:38:00+09,2015-02-08 22:31:00+09,0日17時53分00秒間
20150209162300-15-3320200,強風注意報,倉敷市,2015-02-09 16:23:00+09,2015-02-09 22:55:00+09,0日06時32分00秒間
20150213050600-15-3320200,強風注意報,倉敷市,2015-02-13 05:06:00+09,2015-02-13 20:18:00+09,0日15時12分00秒間
20150218043500-15-3320200,強風注意報,倉敷市,2015-02-18 04:35:00+09,2015-02-18 18:17:00+09,0日13時42分00秒間
20150219111900-15-3320200,強風注意報,倉敷市,2015-02-19 11:19:00+09,2015-02-19 17:57:00+09,0日06時38分00秒間
20150226162700-15-3320200,強風注意報,倉敷市,2015-02-26 16:27:00+09,2015-02-27 16:15:00+09,0日23時48分00秒間
20150301041500-15-3320200,強風注意報,倉敷市,2015-03-01 04:15:00+09,2015-03-01 19:47:00+09,0日15時32分00秒間
20150303191500-15-3320200,強風注意報,倉敷市,2015-03-03 19:15:00+09,2015-03-04 18:18:00+09,0日23時03分00秒間
20150309102100-15-3320200,強風注意報,倉敷市,2015-03-09 10:21:00+09,2015-03-12 17:50:00+09,3日07時29分00秒間
20150412201500-15-3320200,強風注意報,倉敷市,2015-04-12 20:15:00+09,2015-04-13 14:45:00+09,0日18時30分00秒間
20150415040000-15-3320200,強風注意報,倉敷市,2015-04-15 04:00:00+09,2015-04-15 18:00:00+09,0日14時00分00秒間
20150416160900-15-3320200,強風注意報,倉敷市,2015-04-16 16:09:00+09,2015-04-17 08:04:00+09,0日15時55分00秒間
20150511214200-15-3320200,強風注意報,倉敷市,2015-05-11 21:42:00+09,2015-05-12 18:30:00+09,0日20時48分00秒間
20150513074700-15-3320200,強風注意報,倉敷市,2015-05-13 07:47:00+09,2015-05-13 16:15:00+09,0日08時28分00秒間
20150626070200-15-3320200,強風注意報,倉敷市,2015-06-26 07:02:00+09,2015-06-26 15:50:00+09,0日08時48分00秒間
20150716041800-15-3320200,強風注意報,倉敷市,2015-07-16 04:18:00+09,2015-07-16 13:20:00+09,0日09時02分00秒間
20150717104300-15-3320200,強風注意報,倉敷市,2015-07-17 10:43:00+09,2015-07-18 04:00:00+09,0日17時17分00秒間
20150824215400-15-3320200,強風注意報,倉敷市,2015-08-24 21:54:00+09,2015-08-26 04:25:00+09,1日06時31分00秒間
20150924101000-15-3320200,強風注意報,倉敷市,2015-09-24 10:10:00+09,2015-09-24 16:30:00+09,0日06時20分00秒間
20151001101500-15-3320200,強風注意報,倉敷市,2015-10-01 10:15:00+09,2015-10-02 04:35:00+09,0日18時20分00秒間
20151113152000-15-3320200,強風注意報,倉敷市,2015-11-13 15:20:00+09,2015-11-14 10:05:00+09,0日18時45分00秒間
20151126043500-15-3320200,強風注意報,倉敷市,2015-11-26 04:35:00+09,2015-11-27 16:24:00+09,1日11時49分00秒間
20151202202000-15-3320200,強風注意報,倉敷市,2015-12-02 20:20:00+09,2015-12-04 17:36:00+09,1日21時16分00秒間
20151210161800-15-3320200,強風注意報,倉敷市,2015-12-10 16:18:00+09,2015-12-11 15:51:00+09,0日23時33分00秒間
20160117160300-15-3320200,強風注意報,倉敷市,2016-01-17 16:03:00+09,2016-01-19 16:32:00+09,2日00時29分00秒間
20160124041200-15-3320200,強風注意報,倉敷市,2016-01-24 04:12:00+09,2016-01-24 22:13:00+09,0日18時01分00秒間
20160208211000-15-3320200,強風注意報,倉敷市,2016-02-08 21:10:00+09,2016-02-09 18:10:00+09,0日21時00分00秒間
20160213181500-15-3320200,強風注意報,倉敷市,2016-02-13 18:15:00+09,2016-02-15 16:00:00+09,1日21時45分00秒間
20160220102900-15-3320200,強風注意報,倉敷市,2016-02-20 10:29:00+09,2016-02-21 04:15:00+09,0日17時46分00秒間
20160228204000-15-3320200,強風注意報,倉敷市,2016-02-28 20:40:00+09,2016-03-01 00:10:00+09,1日03時30分00秒間
20160407044000-15-3320200,強風注意報,倉敷市,2016-04-07 04:40:00+09,2016-04-07 19:00:00+09,0日14時20分00秒間
20160416162000-15-3320200,強風注意報,倉敷市,2016-04-16 16:20:00+09,2016-04-17 16:35:00+09,1日00時15分00秒間
20160421041500-15-3320200,強風注意報,倉敷市,2016-04-21 04:15:00+09,2016-04-22 03:14:00+09,0日22時59分00秒間
20160428095000-15-3320200,強風注意報,倉敷市,2016-04-28 09:50:00+09,2016-04-28 20:30:00+09,0日10時40分00秒間
20160503041000-15-3320200,強風注意報,倉敷市,2016-05-03 04:10:00+09,2016-05-05 03:50:00+09,1日23時40分00秒間
20160516083600-15-3320200,強風注意報,倉敷市,2016-05-16 08:36:00+09,2016-05-16 17:45:00+09,0日09時09分00秒間
20160831043300-15-3320200,強風注意報,倉敷市,2016-08-31 04:33:00+09,2016-08-31 16:06:00+09,0日11時33分00秒間
20160920051700-15-3320200,強風注意報,倉敷市,2016-09-20 05:17:00+09,2016-09-20 22:09:00+09,0日16時52分00秒間
20161005042000-15-3320200,強風注意報,倉敷市,2016-10-05 04:20:00+09,2016-10-05 22:30:00+09,0日18時10分00秒間
20161205201800-15-3320200,強風注意報,倉敷市,2016-12-05 20:18:00+09,2016-12-06 13:46:00+09,0日17時28分00秒間
20161222100100-15-3320200,強風注意報,倉敷市,2016-12-22 10:01:00+09,2016-12-24 04:22:00+09,1日18時21分00秒間
20161227082200-15-3320200,強風注意報,倉敷市,2016-12-27 08:22:00+09,2016-12-27 21:16:00+09,0日12時54分00秒間
20170109102000-15-3320200,強風注意報,倉敷市,2017-01-09 10:20:00+09,2017-01-09 20:05:00+09,0日09時45分00秒間
20170113043200-15-3320200,強風注意報,倉敷市,2017-01-13 04:32:00+09,2017-01-14 16:30:00+09,1日11時58分00秒間
20170115102500-15-3320200,強風注意報,倉敷市,2017-01-15 10:25:00+09,2017-01-15 16:20:00+09,0日05時55分00秒間
20170120035000-15-3320200,強風注意報,倉敷市,2017-01-20 03:50:00+09,2017-01-20 22:27:00+09,0日18時37分00秒間
20170122041500-15-3320200,強風注意報,倉敷市,2017-01-22 04:15:00+09,2017-01-23 04:17:00+09,1日00時02分00秒間
20170130043700-15-3320200,強風注意報,倉敷市,2017-01-30 04:37:00+09,2017-01-30 20:30:00+09,0日15時53分00秒間
20170205102900-15-3320200,強風注意報,倉敷市,2017-02-05 10:29:00+09,2017-02-06 22:23:00+09,1日11時54分00秒間
20170209041200-15-3320200,強風注意報,倉敷市,2017-02-09 04:12:00+09,2017-02-11 20:25:00+09,2日16時13分00秒間
20170218170300-15-3320200,強風注意報,倉敷市,2017-02-18 17:03:00+09,2017-02-19 04:15:00+09,0日11時12分00秒間
20170220041500-15-3320200,強風注意報,倉敷市,2017-02-20 04:15:00+09,2017-02-21 04:20:00+09,1日00時05分00秒間
20170222162500-15-3320200,強風注意報,倉敷市,2017-02-22 16:25:00+09,2017-02-23 16:20:00+09,0日23時55分00秒間
20170302042700-15-3320200,強風注意報,倉敷市,2017-03-02 04:27:00+09,2017-03-02 23:00:00+09,0日18時33分00秒間
20170307042500-15-3320200,強風注意報,倉敷市,2017-03-07 04:25:00+09,2017-03-07 20:00:00+09,0日15時35分00秒間
20170315042800-15-3320200,強風注意報,倉敷市,2017-03-15 04:28:00+09,2017-03-15 21:15:00+09,0日16時47分00秒間
20170410162500-15-3320200,強風注意報,倉敷市,2017-04-10 16:25:00+09,2017-04-11 10:10:00+09,0日17時45分00秒間
20170418162500-15-3320200,強風注意報,倉敷市,2017-04-18 16:25:00+09,2017-04-19 16:00:00+09,0日23時35分00秒間
20170510101500-15-3320200,強風注意報,倉敷市,2017-05-10 10:15:00+09,2017-05-10 21:26:00+09,0日11時11分00秒間
20170704043500-15-3320200,強風注意報,倉敷市,2017-07-04 04:35:00+09,2017-07-04 20:03:00+09,0日15時28分00秒間
20170806073300-15-3320200,強風注意報,倉敷市,2017-08-06 07:33:00+09,2017-08-08 05:10:00+09,1日21時37分00秒間
20170916202000-15-3320200,強風注意報,倉敷市,2017-09-16 20:20:00+09,2017-09-17 06:47:00+09,0日10時27分00秒間
20170917235000-15-3320200,強風注意報,倉敷市,2017-09-17 23:50:00+09,2017-09-18 04:00:00+09,0日04時10分00秒間
20171021212500-15-3320200,強風注意報,倉敷市,2017-10-21 21:25:00+09,2017-10-23 20:10:00+09,1日22時45分00秒間
20171028202000-15-3320200,強風注意報,倉敷市,2017-10-28 20:20:00+09,2017-10-30 15:50:00+09,1日19時30分00秒間
20171104081500-15-3320200,強風注意報,倉敷市,2017-11-04 08:15:00+09,2017-11-04 18:20:00+09,0日10時05分00秒間
20171110155400-15-3320200,強風注意報,倉敷市,2017-11-10 15:54:00+09,2017-11-11 10:01:00+09,0日18時07分00秒間
20171119111000-15-3320200,強風注意報,倉敷市,2017-11-19 11:10:00+09,2017-11-19 16:15:00+09,0日05時05分00秒間
20171123041000-15-3320200,強風注意報,倉敷市,2017-11-23 04:10:00+09,2017-11-23 17:52:00+09,0日13時42分00秒間
20171124040500-15-3320200,強風注意報,倉敷市,2017-11-24 04:05:00+09,2017-11-24 16:15:00+09,0日12時10分00秒間
20171205042000-15-3320200,強風注意報,倉敷市,2017-12-05 04:20:00+09,2017-12-05 18:40:00+09,0日14時20分00秒間
20171208041500-15-3320200,強風注意報,倉敷市,2017-12-08 04:15:00+09,2017-12-08 16:25:00+09,0日12時10分00秒間
20171211041000-15-3320200,強風注意報,倉敷市,2017-12-11 04:10:00+09,2017-12-12 16:05:00+09,1日11時55分00秒間
20171224191000-15-3320200,強風注意報,倉敷市,2017-12-24 19:10:00+09,2017-12-25 10:15:00+09,0日15時05分00秒間
20171226101700-15-3320200,強風注意報,倉敷市,2017-12-26 10:17:00+09,2017-12-26 16:20:00+09,0日06時03分00秒間
20171227132500-15-3320200,強風注意報,倉敷市,2017-12-27 13:25:00+09,2017-12-27 16:05:00+09,0日02時40分00秒間
20180108161000-15-3320200,強風注意報,倉敷市,2018-01-08 16:10:00+09,2018-01-09 19:25:00+09,1日03時15分00秒間
20180122212000-15-3320200,強風注意報,倉敷市,2018-01-22 21:20:00+09,2018-01-24 19:10:00+09,1日21時50分00秒間
20180129042000-15-3320200,強風注意報,倉敷市,2018-01-29 04:20:00+09,2018-01-29 19:45:00+09,0日15時25分00秒間
20180204040000-15-3320200,強風注意報,倉敷市,2018-02-04 04:00:00+09,2018-02-05 19:55:00+09,1日15時55分00秒間
20180206043000-15-3320200,強風注意報,倉敷市,2018-02-06 04:30:00+09,2018-02-06 19:15:00+09,0日14時45分00秒間
20180211043100-15-3320200,強風注意報,倉敷市,2018-02-11 04:31:00+09,2018-02-11 19:25:00+09,0日14時54分00秒間
20180212035200-15-3320200,強風注意報,倉敷市,2018-02-12 03:52:00+09,2018-02-12 19:50:00+09,0日15時58分00秒間
20180217041000-15-3320200,強風注意報,倉敷市,2018-02-17 04:10:00+09,2018-02-17 17:52:00+09,0日13時42分00秒間
20180228160900-15-3320200,強風注意報,倉敷市,2018-02-28 16:09:00+09,2018-03-01 21:06:00+09,1日04時57分00秒間
20180305061500-15-3320200,強風注意報,倉敷市,2018-03-05 06:15:00+09,2018-03-05 18:10:00+09,0日11時55分00秒間
20180321035000-15-3320200,強風注意報,倉敷市,2018-03-21 03:50:00+09,2018-03-21 15:55:00+09,0日12時05分00秒間
20180406162000-15-3320200,強風注意報,倉敷市,2018-04-06 16:20:00+09,2018-04-07 22:08:00+09,1日05時48分00秒間
20180414101000-15-3320200,強風注意報,倉敷市,2018-04-14 10:10:00+09,2018-04-15 04:00:00+09,0日17時50分00秒間
20180503040300-15-3320200,強風注意報,倉敷市,2018-05-03 04:03:00+09,2018-05-04 15:50:00+09,1日11時47分00秒間
20180701103900-15-3320200,強風注意報,倉敷市,2018-07-01 10:39:00+09,2018-07-01 19:46:00+09,0日09時07分00秒間
20180703041500-15-3320200,強風注意報,倉敷市,2018-07-03 04:15:00+09,2018-07-04 10:45:00+09,1日06時30分00秒間
20180728153100-15-3320200,強風注意報,倉敷市,2018-07-28 15:31:00+09,2018-07-28 21:28:00+09,0日05時57分00秒間
20180729101800-15-3320200,強風注意報,倉敷市,2018-07-29 10:18:00+09,2018-07-30 02:32:00+09,0日16時14分00秒間
20180815012300-15-3320200,強風注意報,倉敷市,2018-08-15 01:23:00+09,2018-08-15 10:29:00+09,0日09時06分00秒間
20180822033000-15-3320200,強風注意報,倉敷市,2018-08-22 03:30:00+09,2018-08-23 12:42:00+09,1日09時12分00秒間
20180824030200-15-3320200,強風注意報,倉敷市,2018-08-24 03:02:00+09,2018-08-24 10:11:00+09,0日07時09分00秒間
20180903214700-15-3320200,強風注意報,倉敷市,2018-09-03 21:47:00+09,2018-09-04 04:22:00+09,0日06時35分00秒間
20180904161000-15-3320200,強風注意報,倉敷市,2018-09-04 16:10:00+09,2018-09-04 20:46:00+09,0日04時36分00秒間
20180929214000-15-3320200,強風注意報,倉敷市,2018-09-29 21:40:00+09,2018-09-30 06:52:00+09,0日09時12分00秒間
20180930230600-15-3320200,強風注意報,倉敷市,2018-09-30 23:06:00+09,2018-10-01 04:15:00+09,0日05時09分00秒間
20181005161200-15-3320200,強風注意報,倉敷市,2018-10-05 16:12:00+09,2018-10-07 04:03:00+09,1日11時51分00秒間
20181026161900-15-3320200,強風注意報,倉敷市,2018-10-26 16:19:00+09,2018-10-27 16:13:00+09,0日23時54分00秒間
20181207041800-15-3320200,強風注意報,倉敷市,2018-12-07 04:18:00+09,2018-12-07 20:25:00+09,0日16時07分00秒間
20181228041800-15-3320200,強風注意報,倉敷市,2018-12-28 04:18:00+09,2018-12-28 17:43:00+09,0日13時25分00秒間
20190120042900-15-3320200,強風注意報,倉敷市,2019-01-20 04:29:00+09,2019-01-20 20:46:00+09,0日16時17分00秒間
20190128041500-15-3320200,強風注意報,倉敷市,2019-01-28 04:15:00+09,2019-01-28 20:14:00+09,0日15時59分00秒間
20190203161800-15-3320200,強風注意報,倉敷市,2019-02-03 16:18:00+09,2019-02-04 07:47:00+09,0日15時29分00秒間
20190307032000-15-3320200,強風注意報,倉敷市,2019-03-07 03:20:00+09,2019-03-07 16:05:00+09,0日12時45分00秒間
20190310094000-15-3320200,強風注意報,倉敷市,2019-03-10 09:40:00+09,2019-03-11 16:20:00+09,1日06時40分00秒間
20190312160700-15-3320200,強風注意報,倉敷市,2019-03-12 16:07:00+09,2019-03-13 20:30:00+09,1日04時23分00秒間
20190315202000-15-3320200,強風注意報,倉敷市,2019-03-15 20:20:00+09,2019-03-16 10:28:00+09,0日14時08分00秒間
20190327070500-15-3320200,強風注意報,倉敷市,2019-03-27 07:05:00+09,2019-03-28 04:31:00+09,0日21時26分00秒間
20190330204800-15-3320200,強風注意報,倉敷市,2019-03-30 20:48:00+09,2019-03-31 17:50:00+09,0日21時02分00秒間
20190401040500-15-3320200,強風注意報,倉敷市,2019-04-01 04:05:00+09,2019-04-01 21:47:00+09,0日17時42分00秒間
20190405041000-15-3320200,強風注意報,倉敷市,2019-04-05 04:10:00+09,2019-04-05 20:40:00+09,0日16時30分00秒間
20190408080400-15-3320200,強風注意報,倉敷市,2019-04-08 08:04:00+09,2019-04-08 22:10:00+09,0日14時06分00秒間
20190409160500-15-3320200,強風注意報,倉敷市,2019-04-09 16:05:00+09,2019-04-10 13:10:00+09,0日21時05分00秒間
20190519115000-15-3320200,強風注意報,倉敷市,2019-05-19 11:50:00+09,2019-05-20 23:10:00+09,1日11時20分00秒間
20190608041700-15-3320200,強風注意報,倉敷市,2019-06-08 04:17:00+09,2019-06-08 10:15:00+09,0日05時58分00秒間
20190614100800-15-3320200,強風注意報,倉敷市,2019-06-14 10:08:00+09,2019-06-15 23:37:00+09,1日13時29分00秒間
20190627035400-15-3320200,強風注意報,倉敷市,2019-06-27 03:54:00+09,2019-06-27 22:34:00+09,0日18時40分00秒間
20190710183000-15-3320200,強風注意報,倉敷市,2019-07-10 18:30:00+09,2019-07-11 11:30:00+09,0日17時00分00秒間
20190720160000-15-3320200,強風注意報,倉敷市,2019-07-20 16:00:00+09,2019-07-21 16:08:00+09,1日00時08分00秒間
20190805162200-15-3320200,強風注意報,倉敷市,2019-08-05 16:22:00+09,2019-08-06 16:12:00+09,0日23時50分00秒間
20190814042000-15-3320200,強風注意報,倉敷市,2019-08-14 04:20:00+09,2019-08-15 01:08:00+09,0日20時48分00秒間
20190815151100-15-3320200,強風注意報,倉敷市,2019-08-15 15:11:00+09,2019-08-16 15:49:00+09,1日00時38分00秒間
20190907040500-15-3320200,強風注意報,倉敷市,2019-09-07 04:05:00+09,2019-09-07 17:35:00+09,0日13時30分00秒間
20190922043900-15-3320200,強風注意報,倉敷市,2019-09-22 04:39:00+09,2019-09-23 13:16:00+09,1日08時37分00秒間
20191003042500-15-3320200,強風注意報,倉敷市,2019-10-03 04:25:00+09,2019-10-03 22:23:00+09,0日17時58分00秒間
20191011153000-15-3320200,強風注意報,倉敷市,2019-10-11 15:30:00+09,2019-10-13 04:10:00+09,1日12時40分00秒間
20191024040800-15-3320200,強風注意報,倉敷市,2019-10-24 04:08:00+09,2019-10-25 06:12:00+09,1日02時04分00秒間
20191110211700-15-3320200,強風注意報,倉敷市,2019-11-10 21:17:00+09,2019-11-11 17:44:00+09,0日20時27分00秒間
20191113160200-15-3320200,強風注意報,倉敷市,2019-11-13 16:02:00+09,2019-11-14 16:10:00+09,1日00時08分00秒間
20191128080100-15-3320200,強風注意報,倉敷市,2019-11-28 08:01:00+09,2019-11-28 16:05:00+09,0日08時04分00秒間
20191226194600-15-3320200,強風注意報,倉敷市,2019-12-26 19:46:00+09,2019-12-27 16:10:00+09,0日20時24分00秒間
