1,2,3,4,5,6
20140809164200-05-3320200,暴風警報,倉敷市,2014-08-09 16:42:00+09,2014-08-10 14:48:00+09,0日22時06分00秒間
20141013075800-05-3320200,暴風警報,倉敷市,2014-10-13 07:58:00+09,2014-10-13 23:39:00+09,0日15時41分00秒間
20150716132000-05-3320200,暴風警報,倉敷市,2015-07-16 13:20:00+09,2015-07-17 10:43:00+09,0日21時23分00秒間
20170917064700-05-3320200,暴風警報,倉敷市,2017-09-17 06:47:00+09,2017-09-17 23:50:00+09,0日17時03分00秒間
20180728212800-05-3320200,暴風警報,倉敷市,2018-07-28 21:28:00+09,2018-07-29 10:18:00+09,0日12時50分00秒間
20180823124200-05-3320200,暴風警報,倉敷市,2018-08-23 12:42:00+09,2018-08-24 03:02:00+09,0日14時20分00秒間
20180904042200-05-3320200,暴風警報,倉敷市,2018-09-04 04:22:00+09,2018-09-04 16:10:00+09,0日11時48分00秒間
20180930065200-05-3320200,暴風警報,倉敷市,2018-09-30 06:52:00+09,2018-09-30 23:06:00+09,0日16時14分00秒間
20190815010800-05-3320200,暴風警報,倉敷市,2019-08-15 01:08:00+09,2019-08-15 15:11:00+09,0日14時03分00秒間
20201230125000-05-3320200,暴風警報,倉敷市,2020-12-30 12:50:00+09,2020-12-30 16:25:00+09,0日03時35分00秒間
20220919035100-05-3320200,暴風警報,倉敷市,2022-09-19 03:51:00+09,2022-09-19 23:45:00+09,0日19時54分00秒間
20230815041300-05-3320200,暴風警報,倉敷市,2023-08-15 04:13:00+09,2023-08-15 15:58:00+09,0日11時45分00秒間
