1,2,3,4,5,6
20130619155300-18-3320200,洪水注意報,倉敷市,2013-06-19 15:53:00+09,2013-06-20 10:48:00+09,0日18時55分00秒間
20130626072000-18-3320200,洪水注意報,倉敷市,2013-06-26 07:20:00+09,2013-06-26 13:08:00+09,0日05時48分00秒間
20130704042500-18-3320200,洪水注意報,倉敷市,2013-07-04 04:25:00+09,2013-07-04 13:16:00+09,0日08時51分00秒間
20130713123300-18-3320200,洪水注意報,倉敷市,2013-07-13 12:33:00+09,2013-07-13 18:31:00+09,0日05時58分00秒間
20130715124100-18-3320200,洪水注意報,倉敷市,2013-07-15 12:41:00+09,2013-07-15 15:07:00+09,0日02時26分00秒間
20130722151000-18-3320200,洪水注意報,倉敷市,2013-07-22 15:10:00+09,2013-07-22 20:07:00+09,0日04時57分00秒間
20130730063200-18-3320200,洪水注意報,倉敷市,2013-07-30 06:32:00+09,2013-07-30 12:11:00+09,0日05時39分00秒間
20130803181400-18-3320200,洪水注意報,倉敷市,2013-08-03 18:14:00+09,2013-08-03 19:30:00+09,0日01時16分00秒間
20130805165900-18-3320200,洪水注意報,倉敷市,2013-08-05 16:59:00+09,2013-08-05 20:17:00+09,0日03時18分00秒間
20130806151100-18-3320200,洪水注意報,倉敷市,2013-08-06 15:11:00+09,2013-08-06 18:15:00+09,0日03時04分00秒間
20130807143300-18-3320200,洪水注意報,倉敷市,2013-08-07 14:33:00+09,2013-08-07 18:45:00+09,0日04時12分00秒間
20130808161400-18-3320200,洪水注意報,倉敷市,2013-08-08 16:14:00+09,2013-08-08 18:35:00+09,0日02時21分00秒間
20130810144000-18-3320200,洪水注意報,倉敷市,2013-08-10 14:40:00+09,2013-08-10 19:09:00+09,0日04時29分00秒間
20130825004900-18-3320200,洪水注意報,倉敷市,2013-08-25 00:49:00+09,2013-08-25 11:45:00+09,0日10時56分00秒間
20130901154900-18-3320200,洪水注意報,倉敷市,2013-09-01 15:49:00+09,2013-09-01 19:16:00+09,0日03時27分00秒間
20130902041000-18-3320200,洪水注意報,倉敷市,2013-09-02 04:10:00+09,2013-09-02 11:12:00+09,0日07時02分00秒間
20130903102000-18-3320200,洪水注意報,倉敷市,2013-09-03 10:20:00+09,2013-09-04 08:36:00+09,0日22時16分00秒間
20131024194700-18-3320200,洪水注意報,倉敷市,2013-10-24 19:47:00+09,2013-10-25 05:30:00+09,0日09時43分00秒間
20140612123800-18-3320200,洪水注意報,倉敷市,2014-06-12 12:38:00+09,2014-06-12 16:47:00+09,0日04時09分00秒間
20140624160300-18-3320200,洪水注意報,倉敷市,2014-06-24 16:03:00+09,2014-06-24 21:54:00+09,0日05時51分00秒間
20140707091000-18-3320200,洪水注意報,倉敷市,2014-07-07 09:10:00+09,2014-07-07 15:17:00+09,0日06時07分00秒間
20140708041400-18-3320200,洪水注意報,倉敷市,2014-07-08 04:14:00+09,2014-07-08 07:39:00+09,0日03時25分00秒間
20140713080600-18-3320200,洪水注意報,倉敷市,2014-07-13 08:06:00+09,2014-07-13 10:34:00+09,0日02時28分00秒間
20140719124700-18-3320200,洪水注意報,倉敷市,2014-07-19 12:47:00+09,2014-07-19 21:17:00+09,0日08時30分00秒間
20140720150300-18-3320200,洪水注意報,倉敷市,2014-07-20 15:03:00+09,2014-07-20 19:28:00+09,0日04時25分00秒間
20140806063500-18-3320200,洪水注意報,倉敷市,2014-08-06 06:35:00+09,2014-08-06 10:32:00+09,0日03時57分00秒間
20140809164200-18-3320200,洪水注意報,倉敷市,2014-08-09 16:42:00+09,2014-08-10 11:04:00+09,0日18時22分00秒間
20140822083100-18-3320200,洪水注意報,倉敷市,2014-08-22 08:31:00+09,2014-08-22 13:58:00+09,0日05時27分00秒間
20140824114800-18-3320200,洪水注意報,倉敷市,2014-08-24 11:48:00+09,2014-08-24 20:13:00+09,0日08時25分00秒間
20140825142000-18-3320200,洪水注意報,倉敷市,2014-08-25 14:20:00+09,2014-08-25 17:59:00+09,0日03時39分00秒間
20140904124900-18-3320200,洪水注意報,倉敷市,2014-09-04 12:49:00+09,2014-09-04 16:32:00+09,0日03時43分00秒間
20140906142300-18-3320200,洪水注意報,倉敷市,2014-09-06 14:23:00+09,2014-09-06 22:02:00+09,0日07時39分00秒間
20140911055300-18-3320200,洪水注意報,倉敷市,2014-09-11 05:53:00+09,2014-09-11 07:28:00+09,0日01時35分00秒間
