1,2,3,4,5,6
20130904083600-04-3320200,洪水警報,倉敷市,2013-09-04 08:36:00+09,2013-09-04 22:59:00+09,0日14時23分00秒間
20140824201300-04-3320200,洪水警報,倉敷市,2014-08-24 20:13:00+09,2014-08-24 23:34:00+09,0日03時21分00秒間
20140911154500-04-3320200,洪水警報,倉敷市,2014-09-11 15:45:00+09,2014-09-11 17:32:00+09,0日01時47分00秒間
20150717122000-04-3320200,洪水警報,倉敷市,2015-07-17 12:20:00+09,2015-07-17 17:51:00+09,0日05時31分00秒間
20160815165400-04-3320200,洪水警報,倉敷市,2016-08-15 16:54:00+09,2016-08-15 18:35:00+09,0日01時41分00秒間
20160920083600-04-3320200,洪水警報,倉敷市,2016-09-20 08:36:00+09,2016-09-20 14:45:00+09,0日06時09分00秒間
20170726021000-04-3320200,洪水警報,倉敷市,2017-07-26 02:10:00+09,2017-07-26 04:10:00+09,0日02時00分00秒間
20170807141300-04-3320200,洪水警報,倉敷市,2017-08-07 14:13:00+09,2017-08-07 18:08:00+09,0日03時55分00秒間
20170917125000-04-3320200,洪水警報,倉敷市,2017-09-17 12:50:00+09,2017-09-18 04:00:00+09,0日15時10分00秒間
20171022214200-04-3320200,洪水警報,倉敷市,2017-10-22 21:42:00+09,2017-10-23 04:18:00+09,0日06時36分00秒間
20180705194000-04-3320200,洪水警報,倉敷市,2018-07-05 19:40:00+09,2018-07-13 19:35:00+09,7日23時55分00秒間
20180823181700-04-3320200,洪水警報,倉敷市,2018-08-23 18:17:00+09,2018-08-24 01:23:00+09,0日07時06分00秒間
20180930134600-04-3320200,洪水警報,倉敷市,2018-09-30 13:46:00+09,2018-10-01 04:15:00+09,0日14時29分00秒間
20200619005500-04-3320200,洪水警報,倉敷市,2020-06-19 00:55:00+09,2020-06-19 07:06:00+09,0日06時11分00秒間
20200708023100-04-3320200,洪水警報,倉敷市,2020-07-08 02:31:00+09,2020-07-08 05:35:00+09,0日03時04分00秒間
20200714072100-04-3320200,洪水警報,倉敷市,2020-07-14 07:21:00+09,2020-07-14 16:37:00+09,0日09時16分00秒間
20200729140300-04-3320200,洪水警報,倉敷市,2020-07-29 14:03:00+09,2020-07-29 18:20:00+09,0日04時17分00秒間
20200730174000-04-3320200,洪水警報,倉敷市,2020-07-30 17:40:00+09,2020-07-30 18:48:00+09,0日01時08分00秒間
20200731183300-04-3320200,洪水警報,倉敷市,2020-07-31 18:33:00+09,2020-07-31 19:12:00+09,0日00時39分00秒間
20210709103100-04-3320200,洪水警報,倉敷市,2021-07-09 10:31:00+09,2021-07-09 13:40:00+09,0日03時09分00秒間
20210715185500-04-3320200,洪水警報,倉敷市,2021-07-15 18:55:00+09,2021-07-15 20:20:00+09,0日01時25分00秒間
20210808224700-04-3320200,洪水警報,倉敷市,2021-08-08 22:47:00+09,2021-08-09 04:15:00+09,0日05時28分00秒間
20210812092900-04-3320200,洪水警報,倉敷市,2021-08-12 09:29:00+09,2021-08-12 12:03:00+09,0日02時34分00秒間
20210813161100-04-3320200,洪水警報,倉敷市,2021-08-13 16:11:00+09,2021-08-15 06:45:00+09,1日14時34分00秒間
20210903080500-04-3320200,洪水警報,倉敷市,2021-09-03 08:05:00+09,2021-09-03 14:30:00+09,0日06時25分00秒間
20210904021500-04-3320200,洪水警報,倉敷市,2021-09-04 02:15:00+09,2021-09-04 06:03:00+09,0日03時48分00秒間
20220805131900-04-3320200,洪水警報,倉敷市,2022-08-05 13:19:00+09,2022-08-05 16:20:00+09,0日03時01分00秒間
20220821050200-04-3320200,洪水警報,倉敷市,2022-08-21 05:02:00+09,2022-08-21 08:22:00+09,0日03時20分00秒間
20230507213200-04-3320200,洪水警報,倉敷市,2023-05-07 21:32:00+09,2023-05-07 23:56:00+09,0日02時24分00秒間
20230823115600-04-3320200,洪水警報,倉敷市,2023-08-23 11:56:00+09,2023-08-23 16:05:00+09,0日04時09分00秒間
20230911161500-04-3320200,洪水警報,倉敷市,2023-09-11 16:15:00+09,2023-09-11 18:38:00+09,0日02時23分00秒間
20240528091000-04-3320200,洪水警報,倉敷市,2024-05-28 09:10:00+09,2024-05-28 14:32:00+09,0日05時22分00秒間
20240701045400-04-3320200,洪水警報,倉敷市,2024-07-01 04:54:00+09,2024-07-01 10:43:00+09,0日05時49分00秒間
20240804164400-04-3320200,洪水警報,倉敷市,2024-08-04 16:44:00+09,2024-08-04 18:37:00+09,0日01時53分00秒間
20240825194700-04-3320200,洪水警報,倉敷市,2024-08-25 19:47:00+09,2024-08-25 20:49:00+09,0日01時02分00秒間
