0,1,2,3,4,5,6
1101,20200606074500-14-3320200,雷注意報,倉敷市,2020-06-06 07:45:00+09,2020-06-06 20:56:00+09,0日13時11分00秒間
1102,20200605160800-19-3320200,高潮注意報,倉敷市,2020-06-05 16:08:00+09,2020-06-06 00:31:00+09,0日08時23分00秒間
1103,20200605073600-14-3320200,雷注意報,倉敷市,2020-06-05 07:36:00+09,2020-06-05 20:35:00+09,0日12時59分00秒間
1104,20200604161600-19-3320200,高潮注意報,倉敷市,2020-06-04 16:16:00+09,2020-06-04 23:07:00+09,0日06時51分00秒間
1105,20200601074500-14-3320200,雷注意報,倉敷市,2020-06-01 07:45:00+09,2020-06-01 20:10:00+09,0日12時25分00秒間
1106,20200529042400-21-3320200,乾燥注意報,倉敷市,2020-05-29 04:24:00+09,2020-05-30 19:10:00+09,1日14時46分00秒間
1107,20200526143400-14-3320200,雷注意報,倉敷市,2020-05-26 14:34:00+09,2020-05-26 16:11:00+09,0日01時37分00秒間
1108,20200518131700-14-3320200,雷注意報,倉敷市,2020-05-18 13:17:00+09,2020-05-19 09:58:00+09,0日20時41分00秒間
1109,20200515162700-14-3320200,雷注意報,倉敷市,2020-05-15 16:27:00+09,2020-05-16 15:30:00+09,0日23時03分00秒間
1110,20200513040000-21-3320200,乾燥注意報,倉敷市,2020-05-13 04:00:00+09,2020-05-15 13:48:00+09,2日09時48分00秒間
1111,20200505103400-14-3320200,雷注意報,倉敷市,2020-05-05 10:34:00+09,2020-05-06 15:55:00+09,1日05時21分00秒間
1112,20200422041800-21-3320200,乾燥注意報,倉敷市,2020-04-22 04:18:00+09,2020-05-02 19:55:00+09,10日15時37分00秒間
1113,20200428095600-24-3320200,霜注意報,倉敷市,2020-04-28 09:56:00+09,2020-04-29 07:35:00+09,0日21時39分00秒間
1114,20200427141200-14-3320200,雷注意報,倉敷市,2020-04-27 14:12:00+09,2020-04-28 09:56:00+09,0日19時44分00秒間
1115,20200427100500-24-3320200,霜注意報,倉敷市,2020-04-27 10:05:00+09,2020-04-28 07:30:00+09,0日21時25分00秒間
1116,20200426024500-14-3320200,雷注意報,倉敷市,2020-04-26 02:45:00+09,2020-04-26 21:26:00+09,0日18時41分00秒間
1117,20200424095500-24-3320200,霜注意報,倉敷市,2020-04-24 09:55:00+09,2020-04-25 07:50:00+09,0日21時55分00秒間
1118,20200424035200-14-3320200,雷注意報,倉敷市,2020-04-24 03:52:00+09,2020-04-24 15:45:00+09,0日11時53分00秒間
1119,20200423101100-24-3320200,霜注意報,倉敷市,2020-04-23 10:11:00+09,2020-04-24 07:55:00+09,0日21時44分00秒間
1120,20200421155600-15-3320200,強風注意報,倉敷市,2020-04-21 15:56:00+09,2020-04-22 04:18:00+09,0日12時22分00秒間
